"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR"
109,"Haiti","HT1994DHS",1994,5356,5355.99933900053,0.0891974120536668,8.91974120536668,0.00392415739159738,0.392415739159738,1994,0,478,5356,-6,NA,NA,NA,0.0891974120536668,-2.32347414927087
110,"Haiti","HT2000DHS",2000,10159,10159.0003369999,0.157775462430327,15.7775462430327,0.00640360959466663,0.640360959466663,1994,6,1603,10159,0,NA,NA,NA,0.157775462430327,-1.67487375197565
111,"Haiti","HT2006DHS",2006,10757,10757.0002460004,0.179318761540161,17.9318761540161,0.00464818895909299,0.464818895909299,1994,12,1929,10757,6,NA,NA,NA,0.179318761540161,-1.52096976112231
112,"Haiti","HT2012DHS",2012,14287,14287.0003320005,0.216031695826793,21.6031695826793,0.00418814857723676,0.418814857723676,1994,18,3086,14287,12,NA,NA,NA,0.216031695826793,-1.28894345432489
113,"Haiti","HT2016DHS",2016,14371,14370.9999009999,0.222619542901631,22.2619542901631,0.00414922006518599,0.414922006518599,1994,22,3199,14371,16,NA,NA,NA,0.222619542901631,-1.25046565050839
114,"Honduras","HN2005DHS",2005,19948,19947.9999030003,0.377263359313938,37.7263359313938,0.00404758899892283,0.404758899892283,2005,0,7526,19948,5,NA,NA,NA,0.377263359313938,-0.501180192398275
115,"Honduras","HN2011DHS",2011,22757,22756.9999350009,0.429215182049415,42.9215182049414,0.00398169682114308,0.398169682114308,2005,6,9768,22757,11,NA,NA,NA,0.429215182049415,-0.285053904372198
116,"India","IA1993DHS",1993,89506,89425.4043250496,0.343732305165459,34.3732305165459,0.00193227483755092,0.193227483755092,1993,0,30738,89425,-7,NA,NA,NA,0.343732305165459,-0.646705605326168
117,"India","IA1999DHS",1999,90303,90302.999194989,0.40182330432515,40.182330432515,0.00193065168458778,0.193065168458778,1993,6,36286,90303,-1,NA,NA,NA,0.40182330432515,-0.397873737510205
118,"India","IA2006DHS",2006,124385,124384.999544947,0.37994554147927,37.994554147927,0.00180333378673777,0.180333378673777,1993,13,47260,124385,6,NA,NA,NA,0.37994554147927,-0.489779379951869
119,"India","IA2015DHS",2015,699686,699685.999903096,0.365338736252234,36.5338736252234,0.000866105170912671,0.0866105170912671,1993,22,255622,699686,15,NA,NA,NA,0.365338736252234,-0.552266445902411
120,"India","IA2019DHS",2019,724115,724102.741028907,0.426744431117534,42.6744431117534,0.000823097399503954,0.0823097399503954,1993,26,309007,724103,19,NA,NA,NA,0.426744431117534,-0.295146324200063
121,"Indonesia","ID1987DHS",1987,11884,11883.4461160009,0.403116326041942,40.3116326041942,0.00538577030051494,0.538577030051494,1987,0,4790,11883,-13,NA,NA,NA,0.403116326041942,-0.392497072891789
122,"Indonesia","ID1991DHS",1991,22909,22908.9998529946,0.435170956740703,43.5170956740703,0.00453724987996875,0.453724987996875,1987,4,9969,22909,-9,NA,NA,NA,0.435170956740703,-0.260784149173806
